event_id,alert_type,cities,matched_cities,timestamp,datetime,date,weekday,hour,minute_of_day
782,5,"שאר ישוב, שדה אילן, שדה אליעזר, שדה נחמיה, שומרה, שלומי, שמיר, שניר, שעל, שער הגולן, שפר, שרונה, שתולה, תובל, תל קציר, אזור תעשייה בני יהודה, ח'וואלד, בית עלמין תל רגב, צמח, ח'וואלד, מנחת מחניים, סואעד חמירה, תחנת רכבת כפר יהושוע, אושה, אזור תעשייה שער נעמן, אפק, חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל, חיפה - מפרץ, כפר ביאליק, כפר המכבי, קריית אתא, קריית ביאליק, קריית ים","חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב, חיפה - נווה שאנן ורמות כרמל, חיפה - קריית חיים ושמואל, חיפה - מפרץ",1697038526,2023-10-11 18:35:26+03:00,2023-10-11,Wednesday,18,1115.4333333333334
2055,0,"חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב","חיפה - כרמל, הדר ועיר תחתית, חיפה - מערב",1705689907,2024-01-19 20:45:07+02:00,2024-01-19,Friday,20,1245.1166666666666
2905,0,חיפה - מערב,חיפה - מערב,1718088709,2024-06-11 09:51:49+03:00,2024-06-11,Tuesday,9,591.8166666666667
3729,0,"כפר מסריק, עכו - אזור תעשייה, חיפה - קריית חיים ושמואל",חיפה - קריית חיים ושמואל,1726977603,2024-09-22 07:00:03+03:00,2024-09-22,Sunday,7,420.05
3757,0,"קריית ביאליק, קריית ים, קריית מוצקין, אזור תעשייה קריית ביאליק, אזור תעשייה שער נעמן, חיפה - קריית חיים ושמואל",חיפה - קריית חיים ושמואל,1727100123,2024-09-23 17:02:03+03:00,2024-09-23,Monday,17,1022.05
3761,0,"אושה, חיפה - מפרץ, כפר המכבי, קריית אתא, רמת יוחנן, נשר, אורנים, איבטין, אלונים, בסמת טבעון, כפר תקווה, נופית, קריית טבעון - בית זייד, ראס עלי, רכסים, שער העמקים, בית סוהר קישון, בית עלמין תל רגב, ח'וואלד, חוואלד",חיפה - מפרץ,1727102498,2024-09-23 17:41:38+03:00,2024-09-23,Monday,17,1061.6333333333334
3765,0,"חיפה - כרמל, הדר ועיר תחתית, חיפה - נווה שאנן ורמות כרמל","חיפה - כרמל, הדר ועיר תחתית, חיפה - נווה שאנן ורמות כרמל",1727109754,2024-09-23 19:42:34+03:00,2024-09-23,Monday,19,1182.5666666666666
3765,0,"חיפה - מערב, חיפה - מפרץ, נשר, בית אורן, גבעת וולפסון, החותרים, יגור, כפר גלים, עספיא, בית צבי, כפר הנוער ימין אורד, מגדים, יערות הכרמל, כלא דמון","חיפה - מערב, חיפה - מפרץ",1727109767,2024-09-23 19:42:47+03:00,2024-09-23,Monday,19,1182.7833333333333
3765,0,"חיפה - קריית חיים ושמואל, קריית אתא",חיפה - קריית חיים ושמואל,1727109804,2024-09-23 19:43:24+03:00,2024-09-23,Monday,19,1183.4
3780,0,"אפק, חיפה - קריית חיים ושמואל, כפר ביאליק",חיפה - קריית חיים ושמואל,1727179431,2024-09-24 15:03:51+03:00,2024-09-24,Tuesday,15,903.85
